,state,pc_name,candidate,sex,age,category,party,general_votes,postal_votes,total_votes,total_electors,Unnamed: 12,margin
1347,Bihar,Arrah,SRIBHAGWAN SINGH KUSHWAHA,M,48.0,GEN,RJD,255180,24,255204,1824515, ,-135870
1357,Bihar,Buxar,ASHWINI KUMAR CHOUBEY,M,61.0,GEN,BJP,318954,58,319012,1640671, ,0
1358,Bihar,Buxar,JAGADANAND SINGH,M,70.0,GEN,RJD,186667,7,186674,1640671, ,-132338
1375,Bihar,Sasaram (SC),CHHEDI PASWAN,M,58.0,SC,BJP,365576,511,366087,1607747, ,0
1377,Bihar,Sasaram (SC),MEIRA KUMAR,F,68.0,SC,INC,302385,375,302760,1607747, ,-63327
1386,Bihar,Karakat,KANTI SINGH,F,59.0,GEN,RJD,233619,32,233651,1580558, ,-105241
1389,Bihar,Karakat,UPENDRA KUSHWAHA,M,51.0,GEN,BLSP,338821,71,338892,1580558, ,0
1404,Bihar,Jahanabad,SURENDRA PRASAD YADAV,M,56.0,GEN,RJD,280086,221,280307,1423246, ,-42340
1405,Bihar,Jahanabad,DR. ARUN KUMAR,M,55.0,GEN,BLSP,322422,225,322647,1423246, ,0
1433,Bihar,Gaya (SC),RAMJI MANJHI,M,54.0,SC,RJD,210042,684,210726,1501521, ,-115504
1435,Bihar,Gaya (SC),HARI MANJHI,M,51.0,SC,BJP,325040,1190,326230,1501521, ,0
1447,Bihar,Nawada,GIRIRAJ SINGH,M,61.0,GEN,BJP,390205,43,390248,1694895, ,0
1448,Bihar,Nawada,RAJ BALLABH PRASAD,M,52.0,GEN,RJD,250086,5,250091,1694895, ,-140157
1465,Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,M,32.0,SC,LJP,285334,20,285354,1550936, ,0
1467,Bihar,Jamui (SC),SUDHANSU SHEKHAR BHASKAR,M,46.0,SC,RJD,199401,6,199407,1550936, ,-85947
1476,Goa,North Goa,RAVI NAIK,M,67.0,GEN,INC,131904,400,132304,515441, ,-105599
1477,Goa,North Goa,SHRIPAD YESSO NAIK,M,61.0,GEN,BJP,236926,977,237903,515441, ,0
1484,Goa,South Goa,ALEIXO REGINALDO LOURENCO,M,45.0,GEN,INC,166226,220,166446,545336, ,-32330
1485,Goa,South Goa,ADV. NARENDRA KESHAV SAWAIKAR,M,47.0,GEN,BJP,198176,600,198776,545336, ,0
1498,Gujarat,Kachchh,CHAVDA VINOD LAKHAMASHI,M,35.0,SC,BJP,560475,2380,562855,1533782, ,0
1499,Gujarat,Kachchh,DR.DINESH PARMAR,M,70.0,SC,INC,307072,1301,308373,1533782, ,-254482
1503,Gujarat,Banaskantha,CHAUDHARY HARIBHAI PARTHIBHAI,M,59.0,GEN,BJP,506171,1685,507856,1515711, ,0
1504,Gujarat,Banaskantha,PATEL JOITABHAI KASNABHAI,M,72.0,GEN,INC,304035,1487,305522,1515711, ,-202334
1519,Gujarat,Patan,RATHOD BHAVSINHBHAI DAHYABHAI,M,78.0,GEN,INC,376973,2846,379819,1628641, ,-138719
1520,Gujarat,Patan,LILADHARBHAI KHODAJI VAGHELA,M,80.0,GEN,BJP,515579,2959,518538,1628641, ,0
1534,Gujarat,Mahesana,PATEL JAYSHREEBEN KANUBHAI,F,55.0,GEN,BJP,577225,3025,580250,1498219, ,0
1535,Gujarat,Mahesana,PATEL JIVABHAI AMBALAL,M,75.0,GEN,INC,368204,3155,371359,1498219, ,-208891
1549,Gujarat,Sabarkantha,RATHOD DIPSINH SHANKARSINH,M,62.0,GEN,BJP,549061,3144,552205,1615840, ,0
1550,Gujarat,Sabarkantha,SHANKERSINH VAGHELA BAPU,M,74.0,GEN,INC,463024,4726,467750,1615840, ,-84455
1559,Gujarat,Gandhinagar,L.K.ADVANI,M,86.0,GEN,BJP,770118,3421,773539,1733972, ,0
1560,Gujarat,Gandhinagar,KIRITBHAI ISHVARBHAI PATEL,M,56.0,GEN,INC,287584,2834,290418,1733972, ,-483121
1578,Gujarat,Ahmedabad East,PATEL HIMMATSINGH PRAHLADSINGH,M,52.0,GEN,INC,304769,2180,306949,1601832, ,-326633
1579,Gujarat,Ahmedabad East,PARESH RAWAL,M,59.0,GEN,BJP,630869,2713,633582,1601832, ,0
1593,Gujarat,Ahmedabad West,ISHWARBAHI DHANABHAI MAKWANA,M,63.0,SC,INC,295202,1591,296793,1534400, ,-320311
1594,Gujarat,Ahmedabad West,DR. KIRIT P SOLANKI,M,64.0,SC,BJP,614892,2212,617104,1534400, ,0
1605,Gujarat,Surendranagar,KOLI PATEL SOMABHAI GANDALAL,M,73.0,GEN,INC,323684,2412,326096,1656657, ,-202907
1607,Gujarat,Surendranagar,FATEPARA DEVAJIBHAI GOVINDBHAI,M,55.0,GEN,BJP,526006,2997,529003,1656657, ,0
1623,Gujarat,Rajkot,KUNDARIYA MOHANBHAI KALYANJIBHAI,M,62.0,GEN,BJP,619495,2029,621524,1655717, ,0
1624,Gujarat,Rajkot,KUNVARJIBHAI MOHANBHAI BAVALIYA,M,59.0,GEN,INC,373032,2064,375096,1655717, ,-246428
1639,Gujarat,Porbandar,JADEJA KANDHALBHAI SARAMANBHAI,M,42.0,GEN,NCP,238360,2106,240466,1539223, ,-267971
