,state,party,total_votes
715,Maharashtra,INC,8792237
716,Maharashtra,IND,1991492
717,Maharashtra,IUML,8440
718,Maharashtra,JAC,1158
719,Maharashtra,JANADIP,7054
720,Maharashtra,JMBP,1347
721,Maharashtra,KKJHS,9493
722,Maharashtra,LJGP,1135
723,Maharashtra,LKSGM,8418
724,Maharashtra,MAHKRS,2761
725,Maharashtra,MLPOIRF,12407
726,Maharashtra,MNDP,673
727,Maharashtra,MSHP,281578
728,Maharashtra,NAP,1654
729,Maharashtra,NCP,8387363
730,Maharashtra,NNP,4590
731,Maharashtra,NOTA,488766
732,Maharashtra,PBI,1589
733,Maharashtra,PECP,2712
734,Maharashtra,PHJSP,20620
735,Maharashtra,PPID,8640
736,Maharashtra,PRCP,10446
737,Maharashtra,PSPL,1812
738,Maharashtra,PUNP,547
739,Maharashtra,RAJSPty,1425
740,Maharashtra,RAKRD,475
741,Maharashtra,RASMARP,8997
742,Maharashtra,RBCP,1574
743,Maharashtra,RBS,1820
744,Maharashtra,RJBP,10835
745,Maharashtra,RJSPS,1934
746,Maharashtra,RJanPty,3433
747,Maharashtra,RJnPty,699
748,Maharashtra,RSP(S),670
749,Maharashtra,RTORP,1492
750,Maharashtra,RUC,1632
751,Maharashtra,SABHP,1290
752,Maharashtra,SHS,12589064
753,Maharashtra,SMFB,2134
754,Maharashtra,SP,12306
755,Maharashtra,STBP,12430
756,Maharashtra,SUCI(C),1083
757,Maharashtra,SVPP,998
758,Maharashtra,SWP,834380
759,Maharashtra,SaRaPa,1961
760,Maharashtra,SanS,1987
761,Maharashtra,SwaBP,446
762,Maharashtra,VBA,3743560
763,Maharashtra,bns,4917
764,Maharashtra,ssrd,3184
765,Manipur,BJP,553377
766,Manipur,CPI,133813
767,Manipur,INC,398387
768,Manipur,IND,85565
769,Manipur,JD(U),2987
770,Manipur,MDPF,1256
771,Manipur,MPEP,1783
772,Manipur,NCP,2552
773,Manipur,NEINDP,37221
774,Manipur,NOTA,5389
775,Manipur,NPEP,30726
776,Manipur,NPF,363527
777,Manipur,RJSNP,747
778,Meghalaya,BJP,108390
779,Meghalaya,INC,660114
780,Meghalaya,IND,16142
781,Meghalaya,NOTA,10874
782,Meghalaya,NPEP,304455
783,Meghalaya,UDP,267256
784,Mizoram,BJP,28707
785,Mizoram,IND,230796
786,Mizoram,MNF,224286
787,Mizoram,NOTA,2509
788,Mizoram,PRISMP,13323
789,NCT OF Delhi,AAAP,1571687
790,NCT OF Delhi,AAPP,6484
791,NCT OF Delhi,ABJS,403
792,NCT OF Delhi,ABMP,405
793,NCT OF Delhi,AIFB,367
794,NCT OF Delhi,ANC,2148
795,NCT OF Delhi,ARK,636
796,NCT OF Delhi,ATBP,641
797,NCT OF Delhi,AnAP,1281
798,NCT OF Delhi,BHAIP,1651
799,NCT OF Delhi,BHAPRAP,2170
800,NCT OF Delhi,BJP,4908541
801,NCT OF Delhi,BKNP,289
802,NCT OF Delhi,BLokSP,849
803,NCT OF Delhi,BPC,724
804,NCT OF Delhi,BSP,93977
805,NCT OF Delhi,CHALP,958
806,NCT OF Delhi,CoAP,275
807,NCT OF Delhi,ESP,1270
808,NCT OF Delhi,HBP,3892
809,NCT OF Delhi,INC,1953900
810,NCT OF Delhi,IND,30764
811,NCT OF Delhi,JKNPP,920
812,NCT OF Delhi,JMBP,1537
813,NCT OF Delhi,JNSMP,1708
814,NCT OF Delhi,JPJD,1393
815,NCT OF Delhi,KBD,369
816,NCT OF Delhi,MKDVP,5017
817,NCT OF Delhi,NAPt,1044
