,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
393,Outer manipur,858029,6194,[1022099],83.94773892,0.60600783
394,Palakkad,1028249,2266,[1323010],77.72042539,0.17127611
395,Palamau,1209747,3778,[1881441],64.29896021,0.20080353
396,Palghar ,1201941,755,[1885600],63.74315868,0.04004031
397,Pali,1359799,14574,[2161663],62.90522621,0.67420315
398,Panchmahal,1083676,7539,[1744762],62.1102477,0.43209332
399,Parbhani,1252782,1271,[1985228],63.10519497,0.06402287
400,Paschim Champaran,1012936,5053,[1633824],61.99786513,0.30927444
401,Pataliputra,1077749,4574,[1925479],55.9730332,0.23755128
402,Patan,1126256,5883,[1807043],62.32591034,0.32555949
403,Pathanamthitta,1026553,3860,[1382741],74.24043982,0.27915568
404,Patiala,1177903,2375,[1739600],67.71114049,0.13652564
405,Patna Sahib,982285,3683,[2146008],45.77266254,0.17162098
406,Peddapalle ,970051,853,[1479091],65.58426763,0.05767056
407,Perambalur,1102767,8013,[1391853],79.23013422,0.57570735
408,Phulpur,978236,3910,[2010477],48.65691077,0.19448121
409,Pilibhit,1186589,3699,[1761207],67.37362502,0.21002642
410,Pollachi,1081875,4455,[1520504],71.15239421,0.29299495
411,Ponnani,1017265,924,[1356803],74.97514378,0.06810126
412,Porbandar,949947,6606,[1662368],57.14420634,0.39738494
413,Pratapgarh,914665,4650,[1708759],53.52802824,0.27212732
414,Puducherry,790760,508,[973410],81.23606702,0.05218767
415,Pune,1035236,1412,[2075824],49.87108734,0.06802118
416,Puri,1135620,2817,[1562331],72.68754188,0.1803075
417,Purnia,1153940,789,[1765312],65.36748178,0.04469465
418,Purulia,1355236,2994,[1645884],82.34091832,0.18190832
419,Purvi Champaran,999400,6590,[1658672],60.25302169,0.3973058
420,RAIGARH,1350124,3261,[1733805],77.87057945,0.18808343
421,RAIPUR,1396250,2959,[2111738],66.11852417,0.14012155
422,RAJGARH,1260329,2269,[1694329],74.38514008,0.13391732
