,party,state,total_votes,split_votes,vote_perc
213,BHBP,NCT OF Delhi,669,520018484,0.00012864927316698997
270,BMUP,Goa,666,520018484,0.00012807237059673441
855,RSD,Uttar Pradesh,665,520018484,0.00012788006973998254
283,BMUP,Uttarakhand,664,520018484,0.0001276877688832307
737,NYP,Gujarat,653,520018484,0.0001255724594589603
90,ABSP,NCT OF Delhi,651,520018484,0.0001251878577454566
534,IOP,Uttar Pradesh,649,520018484,0.0001248032560319529
82,ABJS,Maharashtra,641,520018484,0.00012326484917793808
551,IVD,Chandigarh,640,520018484,0.0001230725483211862
754,PHRC,Uttarakhand,637,520018484,0.00012249564575093065
41,AAAP,Dadra & Nagar Haveli,621,520018484,0.00011941883204290101
118,AIFB,Rajasthan,621,520018484,0.00011941883204290101
129,AIPF,Haryana,620,520018484,0.00011922653118614914
86,ABML(S),Uttarakhand,614,520018484,0.00011807272604563803
793,REP,NCT OF Delhi,601,520018484,0.00011557281490786394
959,SP(I),Telangana,598,520018484,0.00011499591233760838
202,BCBDP,Telangana,596,520018484,0.00011461131062410465
795,RJ,NCT OF Delhi,592,520018484,0.00011384210719709725
113,AIFB,Karnataka,586,520018484,0.00011268830205658613
71,ABCD(A),Rajasthan,566,520018484,0.00010884228492154905
443,HEP,Chandigarh,566,520018484,0.00010884228492154905
34,A S P,Uttar Pradesh,557,520018484,0.00010711157721078237
981,SUCI,Telangana,554,520018484,0.00010653467464052681
796,RJ,Uttar Pradesh,553,520018484,0.00010634237378377496
268,BMUP,Chandigarh,550,520018484,0.00010576547121351939
1056,sps,Telangana,547,520018484,0.00010518856864326383
1040,igp,Kerala,546,520018484,0.00010499626778651198
789,RBHP,NCT OF Delhi,545,520018484,0.00010480396692976014
131,AIRSP,Uttar Pradesh,543,520018484,0.00010441936521625642
1011,UPRP,Uttar Pradesh,542,520018484,0.00010422706435950459
434,GOA,Goa,530,520018484,0.00010191945407848233
455,HND,NCT OF Delhi,527,520018484,0.00010134255150822676
738,NYP,Uttar Pradesh,523,520018484,0.00010057334808121935
83,ABML(S),Jammu & Kashmir,521,520018484,0.00010018874636771565
979,SUCI,NCT OF Delhi,508,520018484,9.768883522994156e-05
295,BRPP,NCT OF Delhi,504,520018484,9.691963180293413e-05
214,BHNKP,Uttar Pradesh,502,520018484,9.653503008943044e-05
549,IUML,Uttar Pradesh,498,520018484,9.576582666242302e-05
206,BDBRAJP,Tamil Nadu,491,520018484,9.441972066516004e-05
312,BSP,Daman & Diu,490,520018484,9.42274198084082e-05
945,SP,Lakshadweep,488,520018484,9.384281809490448e-05
700,NBNP,Telangana,485,520018484,9.326591552464893e-05
187,AVIRP,Haryana,479,520018484,9.211211038413781e-05
1005,TTNC,Tamil Nadu,474,520018484,9.115060610037854e-05
402,CPM,Lakshadweep,465,520018484,8.941989838961185e-05
124,AIMF,Uttarakhand,454,520018484,8.730458896534148e-05
116,AIFB,NCT OF Delhi,451,520018484,8.672768639508591e-05
