,pc_name,total_votes,postal_votes,total_electors,vtr,postal_votes_per
403,Raver,1009213,532,[1775051],56.85543683,0.02997097
404,Robertsganj,885873,245,[1723538],51.39851863,0.01421495
405,Rohtak,1044331,680,[1737133],60.11807962,0.03914496
406,SAGAR,891929,157,[1583129],56.33962867,0.00991707
407,SATNA,913444,164,[1575064],57.99408786,0.01041228
408,SHAHDOL,968518,832,[1656474],58.46865088,0.05022717
409,SIDHI,989396,777,[1845547],53.60990536,0.04210134
410,SOUTH DELHI                   ,1102410,1133,[2067463],53.32187323,0.05480146
411,Sabarkantha,1094002,8032,[1801717],60.71996879,0.44579698
412,Saharanpur,1194308,1222,[1739082],68.67462259,0.07026696
413,Salem,1150296,1122,[1612512],71.33565518,0.06958088
414,Salempur,854749,1188,[1667282],51.26601259,0.07125369
415,Samastipur (SC),863199,16,[1679030],51.41057634,0.00095293
416,Sambhal,1057002,1185,[1828764],57.79870995,0.06479786
417,Sangli,1046659,3790,[1809109],57.85494406,0.20949539
418,Sangrur,1099467,104,[1529431],71.8873228,0.00679991
419,Sant Kabir Nagar,1011649,15,[1962903],51.5384102,0.00076417
420,Saran,863254,789,[1667253],51.77702484,0.04732335
421,Sasaram (SC),846788,1100,[1787878],47.36273952,0.06152545
422,Satara,976681,972,[1848489],52.83672232,0.05258349
423,Secundrabad,1003769,781,[1968276],50.99737029,0.03967939
424,Shahjahanpur,1129841,1893,[2114201],53.44056691,0.08953737
425,Sheohar,842894,231,[1686215],49.98733851,0.01369932
426,Shillong,619987,121,[1197806],51.76021827,0.0101018
427,Shimla,737756,979,[1259085],58.59461434,0.07775488
428,Shimoga,1129008,741,[1676668],67.33640768,0.0441948
429,Shirdi,932645,691,[1587079],58.7648756,0.04353911
430,Shirur,1089506,856,[2175529],50.0800495,0.03934675
431,Shrawasti,979638,237,[1914739],51.16300446,0.01237767
432,Sikar,1065750,5484,[2041612],52.20139772,0.26861127
433,Sikkim,308967,9400,[434128],71.16956289,2.16526002
434,Silchar,799830,84,[1195720],66.89107818,0.00702506
435,Singhbhum,795286,62,[1269917],62.6250377,0.00488221
436,Sirsa,1279105,242,[1803349],70.92942076,0.01341948
437,Sitamarhi,900588,111,[1752454],51.39010781,0.00633398
438,Sitapur,1026972,638,[1666126],61.63831547,0.03829242
439,Sivaganga,1027036,988,[1552019],66.17418988,0.06365901
440,Siwan,884021,16,[1799551],49.12453162,0.00088911
441,Solapur ,951201,1150,[1851654],51.37034241,0.06210664
442,Sonipat,985638,442,[1592611],61.88818236,0.02775317
443,South Goa,410369,912,[579352],70.83241276,0.15741725
444,Srerampur,1290433,1450,[1785472],72.27405414,0.08121102
445,Srikakulam,1052115,7239,[1553860],67.70976793,0.46587209
446,Srinagar,312212,4,[1294671],24.1151613,0.00030896
447,Sriperumbudur,1286647,520,[2253448],57.09681342,0.02307575
448,Sultanpur,964981,73,[1775196],54.35912429,0.00411222
449,Supaul,970528,8,[1690620],57.40663189,0.0004732
450,Surat,947922,1415,[1655704],57.2519001,0.08546214
